<li><code>guess</code> refers to <code>""correct""</code> and <code>actual</code> refers to <code>""correct""</code></li>

<li><code>guess</code> refers to <code>""lower""</code> and <code>actual</code> refers to <code>""higher""</code></li>

</ul>",,,,,,,,,,,

"Consider this code:



<pre>

def first_two_items(L):

    """""" (list of str) -> list of str

    

    Return the first two items in L. If there are fewer than two items in L,

    return all of the items.



    >>> first_two_items([""apple"", ""pear"", ""grape""])

    [""apple"", ""pear""]

    """"""

</pre>



Which of these sets of values for <code>L</code> is the <em>best</em> choice of tests cases for this function?  (Think about the <strong>Size</strong> category for choosing test cases.)","<ul>

<li><code>[]</code></li>

<li><code>[""one""]</code></li>

</ul>","<ul>

<li><code>[""one"", ""two""]</code></li>

<li><code>[""one"", ""two"", ""three""]</code></li>

<li><code>[""one"", ""two"", ""three"", ""four""]</code></li>

</ul>","<ul>

<li><code>[]</code></li>

<li><code>[""one""]</code></li>

<li><code>[""one"", ""two""]</code></li>

<li><code>[""one"", ""two"", ""three""]</code></li>

<li><code>[""one"", ""two"", ""three"", ""four""]</code></li>

<li><code>[""one"", ""two"", ""three"", ""four"", ""five""]</code></li>

<li><code>[""one"", ""two"", ""three"", ""four"", ""five"", ""six""]</code></li>

<li>More tests like this, with lists up to 20 items long.</li>

</ul>","<ul>

<li><code>[]</code></li>

<li><code>[""one""]</code></li>

<li><code>[""one"", ""two""]</code></li>

<li><code>[""one"", ""two"", ""three"", ""four""]</code></li>

</ul>",,,,,,,,,,,

"Consider this code:



<pre>

def is_preschooler(age):

    """""" (int) -> bool



    Precondition: age >= 0



    Return True if and only if age is between 3 and 5 inclusive.



    >>> is_preschooler(4)

    True

    """"""

</pre>



Which set of test cases is the <em>best</em> choice of tests cases for this function?  (Think about which test case category you might want to consider.)","<ul>

<li>one number between <code>0</code> and <code>2</code></li>

<li>one number between <code>3</code> and <code>5</code></li>

<li>one number over <code>5</code></li>

</ul>","<ul>

<li>one number under <code>0</code></li>

<li><code>0</code></li>

<li>one number over <code>0</code></li>

</ul>","<ul>

<li>one number between <code>0</code> and <code>2</code></li>

<li><code>4</code></li>

<li>one number over <code>5</code></li>

</ul>","<ul>

<li><code>0</code> or <code>1</code></li>

<li><code>2</code></li>

<li><code>3</code></li>

<li><code>4</code></li>

<li><code>5</code></li>

<li><code>6</code></li>

<li>one number over <code>6</code></li>

</ul>",,,,,,,,,,,

"Here is the code for <code>selection_sort</code> with docstring and comments removed:

<pre>

def selection_sort(L):

    for i in range(len(L)):

        index_of_smallest = get_index_of_smallest(L, i)

        L[index_of_smallest], L[i] = L[i], L[index_of_smallest]

</pre>



For the call <code>selection_sort(L)</code>, how many comparisons are made during all the calls to <code>get_index_of_smallest</code>?

",<code>n</code>,<code>n(n - 1)</code>,<code>n(n - 1) / 2</code>,,,,,,,,,,,,

"You are conducting a survey with an ordered list of questions to which people can answer <code>'Y'</code> or <code>'N'</code> (""yes"" or ""no""). You need to keep track of each person's responses so that you can find out which questions they answered <code>'Y'</code> to and which questions they answered <code>'N'</code> to. Which of the following data structures <em>could be used</em> to represent one person's responses to the questions?","<code>dict of {str: int}</code>, where each key is a response (either <code>'Y'</code> or <code>'N'</code>) and each value is a question number ","<code>list of str</code>, where each character is either <code>'Y'</code> or <code>'N'</code>","<code>dict of {str: list of int}</code>, where each key is a response (either <code>'Y'</code> or <code>'N'</code>) and each value is list of question numbers for which the person provided that response","two <code>list of str</code>, where one list contains all the <code>'Y'</code>s and the other contains all the <code>'N'</code>s  ","<code>dict of {int: str}</code>, where each key is a question number and each value is a response to that question (either <code>'Y'</code> or <code>'N'</code>)",two <code>int</code>s: the number of <code>'Y'</code>s and the number of <code>'N'</code>s,,,,,,,,,

"In this dictionary, which are the keys?

<pre>{'a': 1, 2: 'b'}</pre>",<code>'a'</code> and <code>'b'</code>,<code>1</code> and <code>2</code>,<code>'a'</code>and <code>2</code>,<code>1</code> and <code>'b'</code>,,,,,,,,,,,

"For <b>linear search</b>, if we are searching for <code>7</code>, which list will cause the fewest number of iterations?","<code>[6, 7, 4, 5, 2, 3]</code>","<code>[2, 4, 6, 3, 5, 7]</code>","<code>[7, 6, 5, 4, 3, 2]</code>","<code>[2, 3, 4, 5, 6, 7]</code>",,,,,,,,,,,

"If you were writing an on-line shopping system using top-down design, which of the following functions might you expect to see written first?",show_shopping_cart(),checkout(),show_error_message(),get_product_id(),get_tax_for_shipping_address(),add_to_shopping_cart(),,,,,,,,,

"Consider this saying:

<pre>

    What I spent, I had; what I saved, I lost; what I gave, I have.

</pre>

Assume that the current context is <b><code>I gave,</code></b>.  Select the word(s) that follow the current context.

",<code>What</code>,"<code>spent,</code>",<code>had;</code>,<code>what</code>,"<code>saved,</code>",<code>lost;</code>,"<code>gave,</code>",<code>I</code>,<code>have.</code>,,,,,,

"Here is how <code>CashRegister(5, 5, 5, 5, 5)</code> is executed: 

<ol><li>Create an object of type <code>CashRegister</code>.</li>

<li>Call that object's <code>__init__</code> method.</li>

<li>Produce that object's memory address.</li>

</ol>

Consider these assignment statements: 

 <pre>

reg1 = CashRegister(1, 2, 3, 4, 5) 

reg2 = CashRegister(5, 4, 3, 2, 1)</pre> 

Assume <code>reg1</code> contains memory address <code>id3</code> and <code>reg2</code> contains <code>id7</code>.  

Below, select the statement(s) that are true. ","<code>reg1</code> refers to the object at memory address <code>id3</code>.

",<code>reg1</code> contains memory address <code>id3</code>.,<code>reg1.loonies</code> and <code>reg2.twenties</code> both refer to value <code>1</code>.,Creating the second <code>CashRegister</code> changes all the values in the first <code>CashRegister</code>'s instance variables.,,,,,,,,,,,

"Here is <code>help</code> output for some method from class <code>int</code>:

<pre>

 |  __add__(...)

 |      x.__add__(y) <==> x+y

 |  __float__(...)

 |      x.__float__() <==> float(x)

 |  __floordiv__(...)

 |      x.__floordiv__(y) <==> x//y

 |  __pow__(...)

 |      x.__pow__(y[, z]) <==> pow(x, y[, z])

</pre>

Which method is called for integer division?",<code>__add__</code>,<code>__float__</code>,<code>__floordiv__</code>,<code>__pow__</code>,,,,,,,,,,,

"<p>List <code>[6, 8, 2, 1, 1, 9, 4]</code> is being sorted using <b>insertion sort</b>.  Here is what the list will look like after each of the first three passes:</p>

<ul>

<li>After the 1st pass: <code>[6, 8, 2, 1, 1, 9, 4]</code></li>

<li>After the 2nd pass: <code>[6, 8, 2, 1, 1, 9, 4]</code></li>

<li>After the 3rd pass: <code>[2, 6, 8, 1, 1, 9, 4]</code></li>

</ul>

<p>

What will the list look like after the 4th pass?

</p>","<code>[1, 6, 8, 2, 1, 9, 4]</code>","<code>[1, 1, 2, 6, 8, 9, 4]</code>","<code>[1, 2, 6, 8, 1, 9, 4]</code>",,,,,,,,,,,,

"<pre>

def is_palindrome_v3(s):



    i = 0

    j = len(s) - 1

    while i &lt; j and s[i] == s[j]:

        i = i + 1

        j = j - 1



    return j &lt;= i

</pre>

If <code>s</code> refers to a single-character string such as <code>'x'</code>, when the return statement is reached, which of the following expressions evaluates to <code>True</code>?",<code>i == 0 and j == -1</code> ,<code>i == 0 and j == 0</code> ,<code>i == 0 and j == 1</code> ,<code>i == 1 and j == 0</code> ,,,,,,,,,,,

Select the code fragment(s) that result in a <code>SyntaxError</code>.,"<code>""He said, ""Yes!""""</code>","<code>'""Once upon a time..."", she said.'</code>",<code>'3\'</code>,<code>'''That's okay'''</code>,,,,,,,,,,,

"Consider this code:

<pre>

def f(data):

    return data * 0.5

</pre>

Select the phrase that describes <code>data</code>.",a parameter,an argument,a function name,,,,,,,,,,,,

"<p>The list <code>[4, 2, 5, 6, 7, 3, 1]</code> is shown below after each pass of a sorting algorithm:</p>

<pre>

    [2, 4, 5, 6, 3, 1, 7]

    [2, 4, 5, 3, 1, 6, 7]

    [2, 4, 3, 1, 5, 6, 7]

    [2, 3, 1, 4, 5, 6, 7]

    [2, 1, 3, 4, 5, 6, 7]

    [1, 2, 3, 4, 5, 6, 7]

</pre>

<p>Which sorting algorithm is being executed?</p>

",bubble sort,insertion sort,selection sort,,,,,,,,,,,,

"Consider this code, which is in a file called <code>words.py</code>:

<pre>

def make_uppercase(L):

    """""" (list of str) -> NoneType



    Convert all letters in each string in L to uppercase.

    """"""

</pre>



Consider this <code>unittest</code> method header:

<pre>

def test_make_uppercase(self):

    """""" A list with several items.""""""



    # Add body here.

</pre>



Select the method body(ies) that correctly test the function with the list <code>['Ada Lovelace', 'Grace Hopper', 'Alan Turing']</code>.   You can assume that <code>words</code> has been imported.","<pre>

    actual = words.make_uppercase(['Ada Lovelace', 'Grace Hopper', 'Alan Turing'])

    expected = ['ADA LOVELACE', 'GRACE HOPPER', 'ALAN TURING']

    self.assertEqual(actual, expected)

</pre>","<pre>

    L = ['Ada Lovelace', 'Grace Hopper', 'Alan Turing']

    words.make_uppercase(L)

    expected = ['ADA LOVELACE', 'GRACE HOPPER', 'ALAN TURING']

    self.assertEqual(L, expected)

</pre>","<pre>

    L = ['Ada Lovelace', 'Grace Hopper', 'Alan Turing']

    actual = words.make_uppercase(L)

    expected = ['ADA LOVELACE', 'GRACE HOPPER', 'ALAN TURING']

    self.assertEqual(actual, expected)

</pre>",,,,,,,,,,,,

"The first five questions all involve looping over a list. If the length of the list is doubled, some of the loops will take exactly the same number of iterations as before**.  Select the question(s) for which that is the case.

<br>

(**This is <i>constant running time</i>: the running time does not depend on the size of the input.)

<br>",question 2,question 3,question 4,question 1,question 5,,,,,,,,,,

"Consider this code:

<pre>

print('yes', 'and', 'no', sep='-', end='!!!')

print('yes', 'and', 'no', sep='-', end='!!!')

</pre>

When the code above is executed, what is printed?

<br>",<code>yes-and-no!!!yes-and-no!!!</code>,<code>yes-and-no!!!</code>,"<code>yes,-and,-no!!!</code>","<code>yes,-and,-no!!!yes,-and,-no!!!</code>",,,,,,,,,,,

"The list [4, 2, 5, 6, 7, 3, 1] is shown below after each pass of a sorting algorithm:

<pre>

[2, 4, 5, 6, 3, 1, 7]

[2, 4, 5, 3, 1, 6, 7]

[2, 4, 3, 1, 5, 6, 7]

[2, 3, 1, 4, 5, 6, 7]

[2, 1, 3, 4, 5, 6, 7]

[1, 2, 3, 4, 5, 6, 7]

</pre>

Which sorting algorithm is being executed?",bubble sort,selection sort,insertion sort,,,,,,,,,,,,

"<p>

Assume variable <code>L</code> refers to a list of items. 

</p>

<p>

You have a problem you are trying to solve and you figured out two different approaches that would work.

</p>

<pre>

# Approach 1:

for i in range(len(L)):

    for j in range(len(L)):

        # do a few assignment statements to accomplish the task.

</pre>



<pre>

# Approach 2:

for i in range(1000):

    for j in range(len(L)):

        # do a few assignment statements to accomplish the task.

</pre>

<p>

When would <b>Approach 2</b> take fewer iterations than <b>Approach 1</b>?

</p>",When <code>L</code> contains strings.,When <code>L</code> is sorted.,When <code>L</code> has more than 1000 items.,When <code>L</code> has exactly 1000 items.,,,,,,,,,,,

"<p>List <code>[1, 5, 8, 7, 6, 1, 7]</code> is being sorted using <b>selection sort</b>.  Here is what the list will look like after each of the first three passes:</p>

<ul>

<li>After the 1st pass: <code>[1, 5, 8, 7, 6, 1, 7]</code></li>

<li>After the 2nd pass: <code>[1, 1, 8, 7, 6, 5, 7]</code></li>

<li>After the 3rd pass: <code>[1, 1, 5, 7, 6, 8, 7]</code></li>

</ul>

<p>

What will the list look like after the 4th pass?

</p>","<code>[1, 1, 5, 6, 7, 8, 7]</code>","<code>[1, 1, 5, 7, 6, 8, 7]</code>","<code>[1, 1, 5, 6, 7, 7, 8]</code>",,,,,,,,,,,,

"<p>Here is the code for function <code>insert</code> with docstring and comments removed:</p>

<pre>

def insert(L, i):

    value = L[i]



    j = i

    while j != 0 and L[j - 1] > value:

        L[j] = L[j - 1]

        j = j - 1



    L[j] = value

</pre>

<p>

In the following list, there is an <code>x</code> at index <code>5</code>.  In this question, you will choose a value for that variable.

</p>

<pre>

    L = [2, 5, 6, 7, 8, x, 4]

</pre>

<p>

The first 5 items are sorted.

</p>

<p>

If we call <code>insert(L, 5)</code>, that unknown value will be inserted into the sorted section, growing the sorted section by 1 item.  Select the value for <code>x</code> that would not move.

</p>",<code>4</code>,<code>3</code>,<code>0</code>,<code>9</code>,,,,,,,,,,,

"Consider the following code:

s = 'Call Me Maybe'

Select the expression(s) that produce 'e'.",s[-0],s[13],s[-1],s[12],,,,,,,,,,,

"Consider the following function:



<pre>def list_items():

    items = []



    items.append('apple')

    items.append('turtle')

    items.append('wand')

    items.append('cape')

    items.append('wizard')

    items.append('witch')



    temp = items.pop()

    items.insert(0, temp)

    items.sort()

    return items</pre>



Select the function(s) that are equivalent.","<pre>def list_items():
